,Agglomerative,CL_100_128,CL_100_64,CL_10_128,CL_10_64,CL_20_128,CL_20_64,CL_30_128,CL_30_64,CL_50_128,CL_50_64,DBSCAN,K_mean,Reversal
Maximum drawdown,-0.1399390006379168,-0.303419883152617,-0.3174106099634963,-0.26985841536504884,-0.2645314642281928,-0.27382771396253924,-0.2906620342801883,-0.2866286238757342,-0.32336699806193875,-0.2898985061771733,-0.15861430819578232,-0.18522564686058474,-0.13150508022284746,-0.1376972791594359
Calmar ratio,1.3200420348077189,0.8580633706954846,0.7829446152099117,0.978719004884807,0.989888106966579,0.9171801916829069,0.8432197741696172,0.9198591598530439,0.7875802250681146,0.8915775737866497,1.65449007075512,1.4615722091296388,1.8842689147914369,0.6083584650866488
Mean,0.014125915556030974,0.019282685615897303,0.01849623227661039,0.019531059616278507,0.019382007430182105,0.018671884415984576,0.01826745021783814,0.019500888492811112,0.018906544173301423,0.019157859912158317,0.019419592214209493,0.019965348889548477,0.018447894643558966,0.006703755205681794
Standard deviation,0.028061680634920677,0.03582430360685638,0.036163228157486293,0.035858064281678335,0.036032271576844105,0.036960393116259586,0.03697208956570607,0.0365366265792541,0.037083157733343315,0.03737535779553027,0.03491927393378235,0.03514795552064241,0.03407914631371204,0.020083232066490854
Standard error,0.0014209584342756774,0.0018140341280510422,0.001831196239795745,0.0018157436662736175,0.0018245649955659945,0.0018715622565862121,0.0018721545293266901,0.001850104003862303,0.0018777786846164942,0.0018925748099185454,0.0017682061691359956,0.0017797859114130133,0.00172566465342502,0.001016953986600617
t-statistic,8.652096970786337,8.330737049413303,7.638462253848788,8.332348567643741,8.396722354761968,8.36877172856682,8.162059120049603,7.882928834814912,8.087263480674741,8.277192736111914,8.770432903730518,8.207241348081093,9.849057882427559,5.775001819194458
Min,-0.1507519627591667,-0.1545563867024242,-0.1545563867024242,-0.1545563867024242,-0.1545563867024242,-0.1545563867024242,-0.1545563867024242,-0.1545563867024242,-0.1545563867024242,-0.1545563867024242,-0.10184513382168552,-0.10184513382168552,-0.10291109487378315,-0.10965720055328913
25%,0.0,0.0007058804036673896,0.00010530341356586911,-0.002389069586681859,-0.000307331791771103,-0.001144106003072648,-0.0020491985731296773,-0.0023737841924505844,-0.0018826972970795866,0.00022165476670929642,-0.0034042901326948568,-0.002846146178045439,-0.0009598888537236731,-0.002374954952358399
50%,0.011879598079374339,0.017719940753500956,0.015656802174437833,0.01712139147207787,0.01727620583340259,0.015609235660187274,0.01736068108254328,0.016841113505738695,0.015811456620519308,0.016593050219597696,0.016444003035077953,0.018797646577051234,0.016742693763685618,0.005491112677218896
75%,0.02731730064645253,0.039701589419353735,0.03880734207789545,0.037881577320535084,0.03847248237124161,0.03793855460823452,0.03732038670193825,0.037666922616428726,0.0396124629088071,0.037879057957169116,0.03852629308073782,0.03723892829072249,0.03928544675990622,0.012838680836401361
Max,0.19199220055436345,0.13650802876425738,0.13647792669013586,0.14147671844552984,0.16295179606615123,0.16295179606615123,0.13261002043659167,0.1367310076768622,0.12011935421595352,0.1777185693614798,0.13282827489684532,0.1485004439378415,0.14147671844552984,0.1919753128112079
Skew,0.3635645101950801,-0.32749769222057473,-0.22523673699797753,-0.052447575638959645,0.07048039264646985,-0.08292784901748729,-0.4134853775585214,-0.05491139950838147,-0.14928616191421912,0.08080902200930923,0.2124661213046527,0.38822597979208734,0.24509142272964232,2.048669171069004
Kurtosis,7.3184324602997695,2.2883463594251947,2.1374739178342277,2.3035078036768337,2.3653541247244463,2.4754688878566173,2.8677060608507605,2.4255419678050223,1.8621942691013254,2.6011288503134087,0.7018427759921111,1.5316969518935362,1.2388826733542726,22.323884997573554
